method,x_0,x_min,f(x_min),iterations
cdm_q,[1. 1.],[1. 1.],0.0,0
cdm,[1. 1.],[1. 1.],0.0,0
newtons,[1. 1.],[1. 1.],0.0,1
cdm_q,[0. 0.],[1. 1.],1.779867417404908e-29,1
cdm,[0. 0.],[1.0000107  1.00001065],1.1466978904797419e-10,25
newtons,[0. 0.],[1. 1.],1.779867417404908e-29,2
cdm_q,[-1. -1.],[1. 1.],7.119469669619632e-29,1
cdm,[-1. -1.],[0.99944102 0.99943886],3.1292674371432663e-07,34
newtons,[-1. -1.],[1. 1.],1.437698999765294e-28,2
cdm_q,[ 1.87 -2.3 ],[1. 1.],8.248033802151442e-28,1
cdm,[ 1.87 -2.3 ],[0.99959    0.99958684],1.6909673585582482e-07,13
newtons,[ 1.87 -2.3 ],[1. 1.],6.8512569618444875e-28,2
cdm_q,[ 1. -1.],[1. 1.],3.0825972466675444e-28,1
cdm,[ 1. -1.],[0.99998614 0.99998336],9.663571813767878e-10,17
newtons,[ 1. -1.],[1. 1.],3.8321383661439464e-29,2
cdm_q,[10. 10.],[1. 1.],4.556460588556564e-27,1
cdm,[10. 10.],[1.00064584 1.00064992],4.187781143722061e-07,37
newtons,[10. 10.],[1. 1.],1.265332891974503e-27,2
cdm_q,[-13.2   4.5],[1. 1.],1.1746138878740866e-27,1
cdm,[-13.2   4.5],[0.9998804 0.9998795],1.4385351194415952e-08,22
newtons,[-13.2   4.5],[1. 1.],3.1059425990814287e-27,2
