name,n,k,iters
dichotomy,2,1,3
dichotomy,2,2,14
dichotomy,2,3,13
dichotomy,2,4,10
dichotomy,2,5,7
dichotomy,2,6,17
dichotomy,2,7,14
dichotomy,2,8,14
dichotomy,2,9,12
dichotomy,2,10,15
dichotomy,3,1,3
dichotomy,3,2,12
dichotomy,3,3,11
dichotomy,3,4,17
dichotomy,3,5,18
dichotomy,3,6,17
dichotomy,3,7,28
dichotomy,3,8,35
dichotomy,3,9,19
dichotomy,3,10,20
dichotomy,4,1,3
dichotomy,4,2,10
dichotomy,4,3,17
dichotomy,4,4,15
dichotomy,4,5,24
dichotomy,4,6,24
dichotomy,4,7,13
dichotomy,4,8,18
dichotomy,4,9,26
dichotomy,4,10,38
dichotomy,5,1,3
dichotomy,5,2,12
dichotomy,5,3,17
dichotomy,5,4,17
dichotomy,5,5,26
dichotomy,5,6,29
dichotomy,5,7,18
dichotomy,5,8,18
dichotomy,5,9,24
dichotomy,5,10,18
dichotomy,6,1,3
dichotomy,6,2,9
dichotomy,6,3,15
dichotomy,6,4,21
dichotomy,6,5,26
dichotomy,6,6,23
dichotomy,6,7,19
dichotomy,6,8,21
dichotomy,6,9,22
dichotomy,6,10,18
dichotomy,7,1,3
dichotomy,7,2,12
dichotomy,7,3,15
dichotomy,7,4,19
dichotomy,7,5,17
dichotomy,7,6,25
dichotomy,7,7,24
dichotomy,7,8,23
dichotomy,7,9,23
dichotomy,7,10,34
dichotomy,8,1,3
dichotomy,8,2,11
dichotomy,8,3,17
dichotomy,8,4,20
dichotomy,8,5,22
dichotomy,8,6,17
dichotomy,8,7,20
dichotomy,8,8,24
dichotomy,8,9,24
dichotomy,8,10,33
dichotomy,9,1,3
dichotomy,9,2,11
dichotomy,9,3,17
dichotomy,9,4,16
dichotomy,9,5,19
dichotomy,9,6,17
dichotomy,9,7,20
dichotomy,9,8,22
dichotomy,9,9,32
dichotomy,9,10,24
dichotomy,10,1,3
dichotomy,10,2,12
dichotomy,10,3,17
dichotomy,10,4,19
dichotomy,10,5,17
dichotomy,10,6,19
dichotomy,10,7,21
dichotomy,10,8,23
dichotomy,10,9,28
dichotomy,10,10,23
dichotomy,11,1,3
dichotomy,11,2,12
dichotomy,11,3,16
dichotomy,11,4,15
dichotomy,11,5,17
dichotomy,11,6,19
dichotomy,11,7,23
dichotomy,11,8,24
dichotomy,11,9,24
dichotomy,11,10,29
