name,n,k,iters
divide_step,2,1,1
divide_step,2,2,94
divide_step,2,3,15
divide_step,2,4,43
divide_step,2,5,44
divide_step,2,6,51
divide_step,2,7,66
divide_step,2,8,35
divide_step,2,9,294
divide_step,2,10,278
divide_step,3,1,3
divide_step,3,2,98
divide_step,3,3,24
divide_step,3,4,43
divide_step,3,5,32
divide_step,3,6,17
divide_step,3,7,33
divide_step,3,8,182
divide_step,3,9,87
divide_step,3,10,67
divide_step,4,1,1
divide_step,4,2,87
divide_step,4,3,15
divide_step,4,4,48
divide_step,4,5,30
divide_step,4,6,20
divide_step,4,7,41
divide_step,4,8,39
divide_step,4,9,24
divide_step,4,10,16
divide_step,5,1,1
divide_step,5,2,75
divide_step,5,3,22
divide_step,5,4,67
divide_step,5,5,42
divide_step,5,6,31
divide_step,5,7,43
divide_step,5,8,24
divide_step,5,9,188
divide_step,5,10,71
divide_step,6,1,1
divide_step,6,2,70
divide_step,6,3,16
divide_step,6,4,71
divide_step,6,5,999
divide_step,6,6,21
divide_step,6,7,26
divide_step,6,8,91
divide_step,6,9,164
divide_step,6,10,999
divide_step,7,1,999
divide_step,7,2,133
divide_step,7,3,15
divide_step,7,4,43
divide_step,7,5,17
divide_step,7,6,21
divide_step,7,7,25
divide_step,7,8,64
divide_step,7,9,49
divide_step,7,10,39
divide_step,8,1,1
divide_step,8,2,86
divide_step,8,3,19
divide_step,8,4,44
divide_step,8,5,17
divide_step,8,6,22
divide_step,8,7,31
divide_step,8,8,35
divide_step,8,9,131
divide_step,8,10,35
divide_step,9,1,2
divide_step,9,2,69
divide_step,9,3,14
divide_step,9,4,33
divide_step,9,5,20
divide_step,9,6,34
divide_step,9,7,24
divide_step,9,8,37
divide_step,9,9,311
divide_step,9,10,20
divide_step,10,1,906
divide_step,10,2,92
divide_step,10,3,16
divide_step,10,4,38
divide_step,10,5,17
divide_step,10,6,23
divide_step,10,7,36
divide_step,10,8,40
divide_step,10,9,75
divide_step,10,10,999
divide_step,11,1,101
divide_step,11,2,63
divide_step,11,3,15
divide_step,11,4,44
divide_step,11,5,16
divide_step,11,6,22
divide_step,11,7,22
divide_step,11,8,31
divide_step,11,9,125
divide_step,11,10,999
