name,n,k,iters
fibonacci,2,1,11
fibonacci,2,2,11
fibonacci,2,3,16
fibonacci,2,4,15
fibonacci,2,5,16
fibonacci,2,6,19
fibonacci,2,7,61
fibonacci,2,8,28
fibonacci,2,9,45
fibonacci,2,10,32
fibonacci,3,1,11
fibonacci,3,2,12
fibonacci,3,3,15
fibonacci,3,4,14
fibonacci,3,5,24
fibonacci,3,6,18
fibonacci,3,7,35
fibonacci,3,8,28
fibonacci,3,9,25
fibonacci,3,10,22
fibonacci,4,1,11
fibonacci,4,2,11
fibonacci,4,3,16
fibonacci,4,4,15
fibonacci,4,5,17
fibonacci,4,6,19
fibonacci,4,7,48
fibonacci,4,8,43
fibonacci,4,9,32
fibonacci,4,10,37
fibonacci,5,1,11
fibonacci,5,2,11
fibonacci,5,3,17
fibonacci,5,4,16
fibonacci,5,5,21
fibonacci,5,6,27
fibonacci,5,7,23
fibonacci,5,8,33
fibonacci,5,9,22
fibonacci,5,10,32
fibonacci,6,1,11
fibonacci,6,2,12
fibonacci,6,3,12
fibonacci,6,4,16
fibonacci,6,5,17
fibonacci,6,6,27
fibonacci,6,7,28
fibonacci,6,8,35
fibonacci,6,9,21
fibonacci,6,10,29
fibonacci,7,1,11
fibonacci,7,2,13
fibonacci,7,3,15
fibonacci,7,4,15
fibonacci,7,5,16
fibonacci,7,6,24
fibonacci,7,7,28
fibonacci,7,8,39
fibonacci,7,9,33
fibonacci,7,10,36
fibonacci,8,1,11
fibonacci,8,2,11
fibonacci,8,3,17
fibonacci,8,4,15
fibonacci,8,5,15
fibonacci,8,6,27
fibonacci,8,7,30
fibonacci,8,8,29
fibonacci,8,9,26
fibonacci,8,10,27
fibonacci,9,1,12
fibonacci,9,2,11
fibonacci,9,3,18
fibonacci,9,4,14
fibonacci,9,5,15
fibonacci,9,6,25
fibonacci,9,7,27
fibonacci,9,8,34
fibonacci,9,9,24
fibonacci,9,10,29
fibonacci,10,1,11
fibonacci,10,2,10
fibonacci,10,3,16
fibonacci,10,4,15
fibonacci,10,5,18
fibonacci,10,6,18
fibonacci,10,7,26
fibonacci,10,8,30
fibonacci,10,9,33
fibonacci,10,10,28
fibonacci,11,1,12
fibonacci,11,2,10
fibonacci,11,3,15
fibonacci,11,4,15
fibonacci,11,5,17
fibonacci,11,6,20
fibonacci,11,7,36
fibonacci,11,8,30
fibonacci,11,9,27
fibonacci,11,10,27
