name,n,k,iters
golden_section,2,1,5
golden_section,2,2,9
golden_section,2,3,11
golden_section,2,4,10
golden_section,2,5,27
golden_section,2,6,23
golden_section,2,7,18
golden_section,2,8,35
golden_section,2,9,14
golden_section,2,10,21
golden_section,3,1,6
golden_section,3,2,12
golden_section,3,3,16
golden_section,3,4,18
golden_section,3,5,19
golden_section,3,6,28
golden_section,3,7,33
golden_section,3,8,23
golden_section,3,9,19
golden_section,3,10,42
golden_section,4,1,6
golden_section,4,2,10
golden_section,4,3,14
golden_section,4,4,18
golden_section,4,5,14
golden_section,4,6,23
golden_section,4,7,34
golden_section,4,8,13
golden_section,4,9,28
golden_section,4,10,31
golden_section,5,1,6
golden_section,5,2,11
golden_section,5,3,12
golden_section,5,4,17
golden_section,5,5,17
golden_section,5,6,14
golden_section,5,7,15
golden_section,5,8,26
golden_section,5,9,24
golden_section,5,10,25
golden_section,6,1,6
golden_section,6,2,9
golden_section,6,3,14
golden_section,6,4,15
golden_section,6,5,17
golden_section,6,6,16
golden_section,6,7,19
golden_section,6,8,17
golden_section,6,9,17
golden_section,6,10,23
golden_section,7,1,6
golden_section,7,2,10
golden_section,7,3,13
golden_section,7,4,15
golden_section,7,5,18
golden_section,7,6,16
golden_section,7,7,20
golden_section,7,8,21
golden_section,7,9,18
golden_section,7,10,21
golden_section,8,1,6
golden_section,8,2,11
golden_section,8,3,15
golden_section,8,4,17
golden_section,8,5,20
golden_section,8,6,17
golden_section,8,7,18
golden_section,8,8,19
golden_section,8,9,16
golden_section,8,10,28
golden_section,9,1,6
golden_section,9,2,10
golden_section,9,3,13
golden_section,9,4,17
golden_section,9,5,17
golden_section,9,6,15
golden_section,9,7,20
golden_section,9,8,20
golden_section,9,9,16
golden_section,9,10,22
golden_section,10,1,6
golden_section,10,2,10
golden_section,10,3,15
golden_section,10,4,14
golden_section,10,5,16
golden_section,10,6,18
golden_section,10,7,16
golden_section,10,8,15
golden_section,10,9,23
golden_section,10,10,22
golden_section,11,1,6
golden_section,11,2,11
golden_section,11,3,11
golden_section,11,4,17
golden_section,11,5,18
golden_section,11,6,17
golden_section,11,7,16
golden_section,11,8,21
golden_section,11,9,17
golden_section,11,10,20
